video_id,bracket,native_fps,duration_sec,resolution,codec,source,filename,sha256
mlb_eJ_52UEwLWY,60fps,59.94005994005994,19237.661,3840x2160,vp9,YouTube,mlb_eJ_52UEwLWY.mp4,25a82e0134c920ef7032c39eb86e432ad1ac3ff7cb65d4b74aae949dd18a81a5
mlb_iSpXa-C4_gA,60fps,59.94005994005994,4241.961,3840x2160,av1,YouTube,mlb_iSpXa-C4_gA.mp4,e15b538b4ac553568318eda6588fee621b8f948c1183539fe734f1591ff4525b
nba_KO5gQVMZlrw,60fps,59.94005994005994,16044.645283,1920x1080,av1,YouTube,nba_KO5gQVMZlrw.mp4,7182ead8f633838db113e203332d33acfae5d6544f345422e15cfea002a0cd77
nba_RxokS0bycFw,60fps,59.94005994005994,1101.283517,1920x1080,av1,YouTube,nba_RxokS0bycFw.mp4,be9249b3ca579c31ddb55e0a82a80f9faa3677878802083d7cc79602b162476e
nba_wihOQTghiX8,60fps,60.0,1799.583333,1920x1080,av1,YouTube,nba_wihOQTghiX8.mp4,3f97e132438220716fbe1ee0c5404bdb53db4279b7b4020138a6287b4c008cf7
nfl_afRlQEls3Kg,60fps,59.94005994005994,814.86405,1920x1080,av1,YouTube,nfl_afRlQEls3Kg.mp4,54d0f4bb539fe1b29ac5cf89116d845b9021ea80447be0169be02d2043149a83
nfl_ggqpNY1YwZU,60fps,60.0,1576.25,1920x1080,av1,YouTube,nfl_ggqpNY1YwZU.mp4,11a690da3a1c96e4837e9243469a6787cd81a3b2fec017471ae3dd8815ad41ad
nfl_sGVUT_e0hgc,60fps,59.94005994005994,3600.029767,1920x1080,av1,YouTube,nfl_sGVUT_e0hgc.mp4,02e6f744595a2b552dfe739ff9de97e10802a247156e30363fcd2221f953892c
nfl_xefdnBnZFCk,60fps,59.94005994005994,331.998333,1920x1080,av1,YouTube,nfl_xefdnBnZFCk.mp4,fbd07fe880854f7416bf684867e22bd900ba75c336ad307dec3d9636d8f56412
nhl_E2f1_2JnKvw,60fps,59.94005994005994,113.681,3840x2160,vp9,YouTube,nhl_E2f1_2JnKvw.mp4,39ef3f60aabdf732b1ae0c9f30bfde49af7eafcc36482ad02483108098fe9ff7
